Latitude,Longitude,Depth,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865
16.025316,73.444,XX,0.055381,0.051945,0.04843,0.033658,0.030408,0.029323,0.026755,0.024994,0.023992
16.01759,73.462845,XX,0.055771,0.051456,0.051698,0.034443,0.032084,0.0313,0.029315,0.023995,0.025557
15.932638,73.440331,XX,0.062785,0.062681,0.056171,0.035228,0.031749,0.029652,0.027395,0.024328,0.023783
16.01366,73.419708,XX,0.061488,0.06,0.055083,0.036012,0.031078,0.028773,0.027288,0.02455,0.023783
16.031973,73.43956,XX,0.056812,0.05512,0.049157,0.032088,0.029961,0.028773,0.026541,0.023884,0.023156
16.009069,73.459641,XX,0.055901,0.051211,0.048188,0.033434,0.030855,0.028334,0.026008,0.024328,0.024514
15.95303,73.49865,XX,0.056812,0.05512,0.056654,0.037021,0.033872,0.034046,0.032941,0.02921,0.030149
15.889155,73.477829,XX,0.057332,0.054266,0.047946,0.032088,0.028619,0.027454,0.024514,0.021774,0.022634
15.959968,73.495422,XX,0.055251,0.054144,0.056775,0.039262,0.035548,0.031849,0.031448,0.028766,0.027958
16.036007,73.422424,XX,0.061877,0.060366,0.056171,0.036012,0.031972,0.029213,0.027288,0.023551,0.02253
16.023195,73.438042,XX,0.057332,0.053777,0.050004,0.035003,0.030296,0.029542,0.027822,0.024661,0.023052
16.011827,73.428596,XX,0.062785,0.063534,0.060399,0.037582,0.032084,0.028883,0.027182,0.023884,0.023992
16.031996,73.480492,XX,0.057202,0.056585,0.058829,0.037694,0.036665,0.038328,0.039123,0.035643,0.034322
15.998204,73.432251,XX,0.062136,0.061707,0.058829,0.035228,0.03309,0.030531,0.027395,0.023995,0.024514
16.031309,73.472832,XX,0.056551,0.055609,0.050851,0.037694,0.033425,0.034266,0.032195,0.030098,0.030045
15.961526,73.485603,XX,0.057981,0.058537,0.054721,0.036797,0.031749,0.029982,0.027928,0.024883,0.024409
16.013311,73.433914,XX,0.06006,0.059025,0.054962,0.035228,0.031525,0.029103,0.027075,0.023773,0.02347
16.016485,73.472855,XX,0.056551,0.053289,0.04952,0.036012,0.032755,0.032069,0.031022,0.028655,0.027123
15.923468,73.409859,XX,0.064989,0.063169,0.056775,0.037245,0.03309,0.029872,0.027928,0.025216,0.02514
16.022459,73.436363,XX,0.056812,0.053655,0.050488,0.034106,0.031302,0.029542,0.027395,0.023329,0.023156
16.022671,73.465515,XX,0.055901,0.05512,0.052544,0.034443,0.031525,0.030751,0.029849,0.026547,0.026392
15.979529,73.462296,XX,0.058241,0.056219,0.051939,0.034443,0.030408,0.028663,0.026755,0.023662,0.023992
16.034859,73.463646,XX,0.055901,0.053777,0.048915,0.035228,0.031861,0.03152,0.030808,0.027213,0.026392
16.033649,73.446182,XX,0.056421,0.053533,0.048188,0.035228,0.029737,0.028663,0.026435,0.022996,0.023365
16.005489,73.415001,XX,0.062007,0.060122,0.053632,0.036124,0.031078,0.029982,0.026968,0.023551,0.023574
16.02734,73.461182,XX,0.056161,0.053777,0.05073,0.033546,0.032419,0.029872,0.028355,0.025881,0.024827
16.012989,73.439148,XX,0.057721,0.055365,0.053995,0.034219,0.031972,0.029432,0.027822,0.024661,0.023261
15.880842,73.44017,XX,0.061358,0.060122,0.05327,0.034219,0.030296,0.028224,0.026115,0.024106,0.023261
16.019962,73.453484,XX,0.055381,0.052189,0.049278,0.033882,0.029737,0.029542,0.027715,0.023884,0.023365
15.93502,73.444702,XX,0.061617,0.062559,0.056533,0.0359,0.032084,0.028993,0.026862,0.023218,0.023574
16.014688,73.461838,XX,0.054991,0.052678,0.048673,0.033322,0.02929,0.027454,0.026221,0.023551,0.023365
16.017805,73.467705,XX,0.056291,0.054144,0.049641,0.034667,0.031972,0.029432,0.028782,0.026103,0.026184
15.929129,73.467728,XX,0.06019,0.059269,0.055688,0.035003,0.030855,0.027894,0.025581,0.022552,0.021277
15.999807,73.46653,XX,0.056551,0.054144,0.05073,0.034555,0.030072,0.029982,0.027288,0.024106,0.023678
15.889133,73.474655,XX,0.058111,0.053899,0.048067,0.032649,0.028954,0.026575,0.025154,0.023107,0.020859
15.886043,73.47216,XX,0.058111,0.055609,0.048673,0.03377,0.029961,0.027345,0.025581,0.022774,0.022634
16.004322,73.428284,XX,0.06473,0.065847,0.063657,0.03803,0.034207,0.029323,0.028462,0.025326,0.023052
15.9465,73.469925,XX,0.058371,0.057317,0.053512,0.034443,0.030296,0.029323,0.026648,0.023107,0.024722
16.004177,73.433144,XX,0.060449,0.061097,0.056775,0.0359,0.032196,0.029542,0.027715,0.025326,0.023156
16.016426,73.43959,XX,0.057851,0.055731,0.05327,0.035228,0.032643,0.028334,0.026862,0.024328,0.023156
16.001492,73.487358,XX,0.058891,0.059635,0.062934,0.042623,0.03767,0.036132,0.036992,0.031761,0.033487
16.00345,73.457718,XX,0.055641,0.053533,0.04722,0.033097,0.029737,0.029213,0.026115,0.023773,0.023052
15.898853,73.443298,XX,0.063044,0.062681,0.054721,0.035228,0.030408,0.027235,0.027182,0.023107,0.021695
15.976484,73.479042,XX,0.057981,0.056585,0.053753,0.034891,0.031414,0.029323,0.028889,0.025437,0.025349
15.987827,73.47242,XX,0.056551,0.055243,0.050488,0.034891,0.029737,0.029762,0.028355,0.024661,0.024618
16.006355,73.446953,XX,0.055381,0.052678,0.052665,0.03534,0.032419,0.029762,0.029209,0.02344,0.024305
16.029387,73.469482,XX,0.055901,0.053533,0.048794,0.035228,0.031972,0.03174,0.030169,0.026547,0.027123
16.006126,73.440323,XX,0.056942,0.05451,0.049399,0.033658,0.030967,0.029432,0.027715,0.023995,0.023678
15.946148,73.484131,XX,0.059021,0.058049,0.053874,0.034331,0.030519,0.028883,0.027502,0.023995,0.023678
16.005013,73.411461,XX,0.061358,0.06,0.052302,0.034891,0.030519,0.029213,0.027395,0.023773,0.02253
16.001472,73.459137,XX,0.055771,0.052067,0.048915,0.032761,0.029178,0.028004,0.026435,0.024217,0.022634
15.971157,73.492722,XX,0.05408,0.051578,0.051214,0.035116,0.032308,0.033167,0.031555,0.027213,0.028688
16.031345,73.452644,XX,0.055381,0.053899,0.048915,0.033434,0.031078,0.028334,0.028248,0.02455,0.024931
