Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
16.0354,73.47546,XX,0.04011,0.0418,0.04331,0.02798,0.02093
15.97116,73.44092,XX,0.04117,0.04419,0.04281,0.02538,0.01446
15.95521,73.44749,XX,0.0428,0.04407,0.0437,0.02558,0.015
15.89449,73.48746,XX,0.03646,0.0365,0.03037,0.02059,0.01302
16.00558,73.47653,XX,0.03944,0.04102,0.04042,0.02591,0.01772
15.9163,73.46516,XX,0.04046,0.04232,0.03988,0.02312,0.01333
16.00293,73.48608,XX,0.03957,0.0415,0.04281,0.02628,0.01841
16.00265,73.44684,XX,0.04289,0.04498,0.04611,0.02837,0.01631
15.90073,73.41177,XX,0.03813,0.03714,0.03168,0.02193,0.014
15.90951,73.46493,XX,0.04133,0.04171,0.03875,0.02326,0.01366
15.91254,73.43353,XX,0.04066,0.04111,0.03595,0.02251,0.01354
16.0359,73.47041,XX,0.0413,0.04217,0.04331,0.02879,0.02111
16.03308,73.4553,XX,0.04267,0.04459,0.04647,0.03046,0.0189
16.0064,73.47793,XX,0.03995,0.04032,0.03881,0.0253,0.01759
16.01728,73.44476,XX,0.04296,0.04468,0.04385,0.02759,0.01733
15.91241,73.49069,XX,0.0395,0.0408,0.03592,0.0222,0.013
16.02416,73.45901,XX,0.04181,0.04316,0.04212,0.02753,0.01813
15.88766,73.47939,XX,0.03749,0.03808,0.03102,0.0207,0.01338
16.03125,73.42672,XX,0.04657,0.04848,0.04599,0.0289,0.01821
16.01869,73.45289,XX,0.04155,0.04329,0.04561,0.02856,0.01662
16.03444,73.41856,XX,0.04382,0.04697,0.04158,0.02745,0.01803
15.9914,73.46571,XX,0.04206,0.04507,0.04504,0.0277,0.01762
16.00728,73.48718,XX,0.03995,0.04313,0.04525,0.02636,0.01934
16.00458,73.48859,XX,0.04382,0.04737,0.05531,0.03695,0.02064
15.96197,73.44492,XX,0.04277,0.04425,0.04346,0.02516,0.01474
16.02472,73.46125,XX,0.04142,0.04329,0.04409,0.0284,0.01816
15.95848,73.4881,XX,0.04245,0.04661,0.04781,0.02714,0.01505
16.0066,73.46728,XX,0.04305,0.04546,0.04751,0.02926,0.01851
16.02406,73.40827,XX,0.04465,0.04564,0.04018,0.02683,0.01785
15.88886,73.45808,XX,0.03838,0.04017,0.03762,0.02301,0.01292
15.96044,73.45866,XX,0.04069,0.04208,0.03824,0.02312,0.01384
16.01406,73.48684,XX,0.04078,0.04416,0.04909,0.02787,0.02141
15.99759,73.45893,XX,0.04331,0.04601,0.04647,0.02759,0.016
16.0097,73.44595,XX,0.04357,0.04486,0.0451,0.02823,0.01659
15.90199,73.47479,XX,0.04005,0.04292,0.03824,0.02262,0.01338
15.88975,73.43034,XX,0.03745,0.03663,0.03284,0.02215,0.01441
16.02047,73.4739,XX,0.0404,0.04156,0.04251,0.028,0.01836
16.02143,73.41923,XX,0.04494,0.04716,0.04301,0.02734,0.01757
16.0129,73.43864,XX,0.04318,0.04507,0.04322,0.02703,0.01662
16.01029,73.45323,XX,0.04197,0.0445,0.04674,0.02926,0.01703
15.99969,73.48723,XX,0.04034,0.04356,0.04846,0.02842,0.01913
15.98616,73.4537,XX,0.04325,0.0451,0.0426,0.02575,0.01597
15.95783,73.47185,XX,0.03883,0.04056,0.03783,0.02354,0.0142
16.02838,73.48057,XX,0.04034,0.04298,0.04549,0.02753,0.02113
15.9419,73.48122,XX,0.04011,0.04195,0.04003,0.02354,0.01372
